filename,ILD,EL0,EL1,EL2,EL3,EL4,EL5,EL6,EL7,EL8,EL9,ER0,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,max_vol,fs,cutoff,amp,dur,fn,normalize,n_frames,sigma,save
aaa,-70,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
baa,-8,67.27562014983982,67.11485203066167,66.69293661566574,67.83017427904177,67.80829903527646,66.92819420300219,66.7986276304583,65.95872668176006,67.10723955201156,67.61792063644506,57.60184365574506,58.18905123754893,56.60844934253484,59.20631898025417,59.33649853957684,57.67945657608663,58.45073860866557,60.33606097222227,57.969934822981735,58.650139731647855,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bab,-8,67.33824773468635,65.6324842658406,67.24377651248628,67.23690880449091,67.1198160309794,67.36816339786627,66.92596403374445,67.39391595549584,66.12364473987566,66.59902881519989,59.88881637916293,59.125359149720055,57.853310113735105,58.23276425821539,59.675801706045206,59.35491189891168,57.30774350353651,59.936779387834655,57.96524835567611,57.89777674365849,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bac,-8,67.60651644711989,66.78698980100636,66.25891076831522,67.88938587018892,66.48930039672716,66.480403902396,66.97978625135647,67.81548945312966,66.05433222959446,65.96101924656288,56.92323968152629,58.248537867760646,58.50071743693093,59.56827881927781,58.05781529435434,58.52185912392801,57.4784269082507,60.79729267829877,59.103061728001656,57.5324153042446,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bad,-8,68.77201124048014,66.6285978518337,65.59173089103217,68.03226777648881,66.63146129948015,69.07630367233392,67.77820355401822,66.81476651547744,66.60726965112926,68.68283949854388,59.843728141812875,57.04590659954366,59.77165766977673,59.3710404209085,59.90558543044749,59.76578368925776,58.784612813227305,60.84561022928955,59.72458471561682,59.09926047134975,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bae,-8,67.10388560993337,68.60726656554606,66.4140217416408,68.19768848410698,67.82538341828604,67.44838400521677,68.14638098922512,66.14167016667729,67.43097990281923,67.08863722849064,59.5804860256726,60.06954944666574,59.32352592726692,58.07424217143752,60.62095101659432,59.43222904993608,59.79920533507426,59.759212153589374,59.62138484036625,60.19656063728121,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
baf,-8,65.98097398219768,66.04724757847326,66.76979244562648,65.76874650402196,67.06569641659425,66.83582046665057,66.08388393349108,68.31174363858301,67.14512655784556,67.75833705697113,57.97575560819237,58.475380394783585,58.567366297014026,58.64866135646284,59.297620750488804,58.950737708096256,59.79438300849534,57.62095892564509,60.725716329782365,57.898076134930385,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bag,-8,67.22283645811952,66.25321042227993,68.68319470489288,67.53681421884086,68.32647014524326,66.26973821803378,67.03286279572687,66.82981598197115,66.76225791089354,68.34573701377201,58.183701547562194,58.6946545694679,57.94443283215053,58.73146706206,61.217776745514904,58.06804746237754,59.3561474985016,57.71499906394961,60.783324649518015,59.519957350672264,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bah,-8,65.6285761617593,67.3874729085008,67.42714140757134,67.6581034573459,66.3922967812203,66.68390339955975,67.30774978139755,68.10249329253529,67.28495209247446,67.29612568299368,58.51446750990977,57.88070898544201,57.38250975532436,59.14279140006206,59.260738509526625,59.250404106482115,59.065318580192134,59.24409062891308,58.55305449234076,60.09911053777749,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bai,-8,66.7974879418164,68.16270063500004,65.05836374248155,66.4756462435688,65.80239022644008,65.5291823204605,66.08311073136879,67.5646859502142,65.48827470406478,68.62328915440814,60.461009182722215,59.863362202293786,56.471438399163766,58.288326914420715,59.594771121703396,59.718687941818644,59.434996469275355,59.96246398706246,60.2226453144481,57.708067179580766,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
