filename,ILD,EL0,EL1,EL2,EL3,EL4,EL5,EL6,EL7,EL8,EL9,EL10,ER0,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,ER10,max_vol,fs,cutoff,amp,dur,fn,normalize,n_frames,sigma,first_frame_0_ILD,save
aaa,-70,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
baa,-8,65.28544917653727,69.21949234576262,71.72155313634978,68.97572793274965,69.0837800873831,68.92357269026816,70.16862882977918,70.11821854796197,69.28457555138961,69.41924697262156,67.86673271411074,65.28544917653727,61.022768079374806,61.860456228074526,59.16549257058592,60.56641785818695,61.79870204030161,61.136991981273454,61.89267401905152,60.09130746711974,60.864294500505046,61.27479009612259,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bab,-8,65.35743692951786,69.38635569623638,70.46871529160255,69.52022970613514,69.84505985823432,71.25603728177805,68.44959679836938,67.90974734297288,70.12821655844192,68.78092125941642,70.7384011724375,65.35743692951786,61.18762136106559,62.3884145048939,61.803805501135095,62.08955767229769,62.52333888501227,60.922012120133644,60.81432587457968,60.53230914041569,60.91547454178463,61.33618396898114,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bac,-8,65.25765139036993,68.0777301037914,68.27874865658713,69.92754281294268,69.55701798164483,67.72734579706562,67.86998918956171,68.88560604813439,69.50834672092394,69.28125715539944,70.08761002254332,65.25765139036993,63.212185421753496,62.44665034976504,60.13804630260224,61.58420124133367,62.86785185192516,62.75001709611231,61.66245022193544,60.67113873491757,60.62076403071798,60.5473475700905,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bad,-8,65.34134862524706,70.38944812810138,69.99857184647882,69.19935062167224,70.06749122884801,69.7548161497503,69.40235561338675,70.16131973741466,69.23405202675404,68.90398382737563,70.72805196373383,65.34134862524706,61.12264761717604,60.97585197210078,61.170816036918346,61.70125097191592,62.25464785289739,61.46464719170274,61.06062778978455,61.60017836872591,61.62331771799271,61.23216763782369,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bae,-8,65.61729054683556,70.84522995699325,71.25963060058145,67.30672625823395,70.83678231550762,68.70187539545145,70.90964289538103,67.56903548615556,67.96320329710575,67.7811672714828,67.78685750028095,65.61729054683556,60.93675921984371,61.94661677408494,61.441682318771846,62.24394840340567,60.4371239004084,60.38624357288442,61.71843930191746,61.29687901357673,61.74227866521279,63.561169159201604,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
baf,-8,64.96111773229993,67.64252960863534,67.64431229491416,69.47658353856824,69.44708124294006,69.76093114846869,69.89111796168092,68.59046725361645,70.95748248673318,68.25680624425755,71.16943411260308,64.96111773229993,60.383704136261954,59.63854951653859,60.63880213260359,61.317036933205024,60.96972969680856,62.99940513572621,61.504058576377105,59.399666388448615,62.06510108697078,62.57413778239479,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bag,-8,65.09135052026886,68.38179842067936,68.78759739992807,68.12999451742274,68.00661704249805,69.74325891141096,70.38500209051159,69.59481800080006,69.86997038405693,69.0726194941805,68.97436199591237,65.09135052026886,61.94266282212245,62.47036843790508,62.40979562467825,59.94631295685489,63.209943699520494,61.69657786842894,61.59746898459328,61.91474628181057,62.276878992911364,61.38191526260546,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bah,-8,65.05612713790937,70.25467128382877,71.27696025817042,68.06375538115236,70.39101425478698,67.20355134000505,67.67118924117368,69.6837276933363,68.28923557118465,69.4844368750125,69.46443638152687,65.05612713790937,60.65038892832605,62.40606590991031,61.05772008472203,61.066850790073836,61.4978686957401,60.326256834125374,62.52958163750235,62.80035352096335,61.037079187340666,60.706497593360005,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bai,-8,65.27099724178413,68.95280294323099,68.29565395122614,69.76682484594531,70.74778839570264,67.95325945355376,70.47353092839693,68.56158138179629,67.99386259343007,69.64705424945356,70.11448977487152,65.27099724178413,60.91694085910934,61.60079431096779,60.5657499591902,62.123328453176605,60.960403983115484,62.45996548507249,60.92337111861889,60.86269784103024,60.06750857139532,61.284920927221165,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
