filename,ILD,EL0,EL1,EL2,EL3,EL4,EL5,EL6,EL7,EL8,EL9,EL10,ER0,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,ER10,max_vol,fs,cutoff,amp,dur,fn,normalize,n_frames,sigma,first_frame_0_ILD,save
aaa,-70,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
baa,-8,63.52657471284377,66.19222005220509,67.7435868256247,66.46960021429109,66.60125113623131,68.34784914484946,66.82834009861091,67.98033430785556,67.34821938215866,68.06940098543309,68.09127693095967,63.52657471284377,58.34042311497291,58.11034094947165,59.1656535987128,58.96066554782545,58.34071747076758,59.3409279287383,57.83051910370244,59.120891520787126,58.40814976919383,58.608793180929354,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bab,-8,63.08478268258841,66.92201427173981,68.09774533856462,65.09884315357637,66.98402047485102,67.83967132921427,66.45518593579011,69.0135977333036,67.09191769976513,66.45990883114837,68.06298510209434,63.08478268258841,58.83751894902464,60.37728977210046,60.04687932041941,57.26053569921083,58.66276674428799,58.82675844547216,59.81830564257724,56.99284314099345,58.37648571757833,59.844323698447816,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bac,-8,61.920322550179506,65.53719534921133,66.2333058041153,67.01667493599261,66.25090783595498,67.4306869392168,67.97069861731858,68.20803928891527,67.03291227288781,65.84553644944162,68.06208940539963,61.920322550179506,59.87985412813136,59.37286628757891,60.54613679934206,58.59424592218289,58.455652949533096,59.34086391836216,59.0043984316349,58.66167434477319,58.27526818026442,59.11316379600596,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bad,-8,62.94626995437482,68.18317657863487,66.52434750561042,67.56075466935874,66.26346500776695,66.34212636124124,66.55214542633615,67.58281754950723,67.73105562506697,65.55731634373483,68.99845459759803,62.94626995437482,59.63484962556776,58.17749530145343,57.048932324747845,58.80564918302692,59.598484656492566,59.215246522348735,57.8104411748937,58.38343487697243,59.94064528712362,58.471948904630835,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bae,-8,63.663557634945484,65.62517732662366,68.75629798488507,66.82625263955929,66.66674729659123,67.58873079515305,67.64787912461315,65.06081902062355,66.03841388706137,67.42391299892616,66.71444194341457,63.663557634945484,58.920072618652696,59.32304212723519,59.450919961328715,58.927747053145616,57.90625264355673,59.17977469033705,59.537269164707716,58.84080224020621,58.09113360470559,58.2639296456819,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
baf,-8,63.477005823212494,67.55666931196552,66.32182421698768,66.2731382864149,68.34452397399106,67.26153584436454,68.10477712102666,66.19612371155742,69.93649443631148,66.09049896408278,68.00920485904888,63.477005823212494,60.295233225125955,58.27699222535924,58.42401563777244,61.186116253369725,59.05994074399647,57.37589497552016,60.50151257580232,59.54883926556547,58.36990993601025,57.65706853446696,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bag,-8,62.93530756593804,65.47669919524202,67.5216763008467,69.85558653348625,65.30469193838945,67.76529489788342,67.82888715725667,66.7647180247522,67.8089826584959,65.65609419171436,66.691785318285,62.93530756593804,57.9822404487569,59.73640769311957,61.22619347387699,57.33142175200018,58.88991206484932,58.94794933212835,59.867891530817225,58.54174093468031,58.002282026857834,57.65358609372536,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bah,-8,60.82052789360495,68.17240966998509,67.20477577204997,67.83246567961848,66.37918020677647,66.16387262360315,67.11044161246078,66.52586959477037,67.04129139779836,66.35611997312982,66.34423024663394,60.82052789360495,60.094224978354106,61.53757601462349,59.26791951118401,58.39375355221727,60.53792975332926,59.464470866920365,59.67474727914541,59.343189625295544,59.59623882800186,60.17952399317054,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bai,-8,61.921272561204376,68.02104591731505,68.20428839769569,66.86590684046548,67.76047492400397,68.38535006468918,66.83808878312605,64.96588156361348,66.44093327558859,67.90011915571107,66.31552997517575,61.921272561204376,58.67158141588878,59.055353606227094,60.252161834711416,59.432654821446945,59.95386666228936,58.13470764147838,58.177782031185764,58.40494745935376,59.5349905929746,58.468595646054176,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
